ID,lat,long,Coll,Separate_lineage,Amikacin,Capreomycin,Drug_Resistance,Pyrazinamide,Ethambutol,Isoniazid,Kanamycin,Ethionamide,Fluoroquinolones,Rifampicin,Streptomycin,Phenotype,date
TB1532,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/09/01
TB1533,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/11/01
TB1534,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/12/01
TB1535,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/04/01
TB1537,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2006/04/01
TB1538,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/04/01
TB1539,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/07/01
TB1540,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/12/01
TB1541,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/02/01
TB1544,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2006/01/01
TB1546,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2005/03/01
TB1547,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/04/01
TB1548,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/04/01
TB1549,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2005/09/01
TB1554,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/08/01
TB1555,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/07/01
TB1505,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/08/01
TB1512,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/04/01
TB1519,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/04/01
TB1521,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/08/01
TB1522,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/08/01
TB1523,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/04/01
TB1525,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/08/01
TB1531,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/08/01
TB1542,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/04/01
TB1543,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/08/01
TB1545,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/08/01
TB1552,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/04/01
TB1553,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/04/01
TB1615,,,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1621,10.2116702,38.6521203,lineage4.6,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1647,10.2116702,38.6521203,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1652,15.9500319,37.9999668,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1683,10.2116702,38.6521203,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1701,10.2116702,38.6521203,lineage4.9,lineage4,0,0,1,0,0,0,0,0,0,0,1,R1 ,2013-XX-XX
TB1703,10.2116702,38.6521203,lineage7,lineage7,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1708,13.470062,-15.4900464,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1712,13.470062,-15.4900464,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1725,10.2116702,38.6521203,lineage7,lineage7,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1737,10.2116702,38.6521203,lineage7,lineage7,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1740,,,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1741,,,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1764,13.470062,-15.4900464,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1773,,,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1784,10.2116702,38.6521203,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1797,13.470062,-15.4900464,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1799,,,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1800,,,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1809,13.470062,-15.4900464,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
TB1823,10.2116702,38.6521203,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2013-XX-XX
ERR036186,-13.2687204,33.9301963,lineage2.2.1,lineage2,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036187,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036188,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,3,0,0,1,0,0,0,1,1,MDR,1995-XX-XX
ERR036189,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR03619,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036190,-13.2687204,33.9301963,lineage4.3.2,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036192,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036193,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036196,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036197,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036199,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR03620,-13.2687204,33.9301963,lineage1.1.3,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036200,-13.2687204,33.9301963,lineage4.1.2,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036203,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,2,0,0,1,0,1,0,0,0,POLY,1995-XX-XX
ERR036204,-13.2687204,33.9301963,lineage4.8,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036205,-13.2687204,33.9301963,lineage4.4.1,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,1995-XX-XX
ERR036206,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036208,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036209,-13.2687204,33.9301963,lineage3,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036210,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036212,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036213,-13.2687204,33.9301963,lineage1.1.3,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036214,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036215,-13.2687204,33.9301963,lineage4.8,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036216,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036217,-13.2687204,33.9301963,lineage1.1.3,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036218,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036219,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036220,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036221,-13.2687204,33.9301963,lineage4.1.1,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036223,-13.2687204,33.9301963,lineage1.2.2,lineage1,0,0,1,0,0,0,0,1,0,0,0,R1 ,2011-XX-XX
ERR036225,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036226,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,2,0,0,1,0,1,0,0,0,POLY,2011-XX-XX
ERR036227,-13.2687204,33.9301963,lineage4.7,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036228,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036229,-13.2687204,33.9301963,lineage4.4.1,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036230,-13.2687204,33.9301963,lineage1.1.3,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036231,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036232,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036234,-13.2687204,33.9301963,lineage4.3.3,lineage4,0,0,2,0,0,1,0,1,0,0,0,POLY,2011-XX-XX
ERR036235,-13.2687204,33.9301963,lineage2.2.1,lineage2,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036236,-13.2687204,33.9301963,lineage1.1.3,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036237,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036238,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036239,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036240,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036242,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036243,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036244,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036245,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036246,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036247,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR036249,-13.2687204,33.9301963,lineage4.1.2,lineage4,0,0,2,0,0,1,0,0,0,0,1,POLY,2011-XX-XX
ERR037467,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR037468,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2011-XX-XX
ERR1063832,-13.2687204,33.9301963,lineage3,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063833,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063834,-13.2687204,33.9301963,lineage1.1.3,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063835,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063836,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063837,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063838,-13.2687204,33.9301963,lineage2.2.1,lineage2,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063839,-13.2687204,33.9301963,lineage2.2.1,lineage2,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063840,-13.2687204,33.9301963,lineage1.1.3,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063844,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063845,-13.2687204,33.9301963,lineage2.2.1,lineage2,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063847,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063850,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,1,0,0,1,0,0,0,0,0,R1 ,2015-XX-XX
ERR1063851,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,1,0,0,1,0,0,0,0,0,R1 ,2015-XX-XX
ERR1063852,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063853,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063854,-13.2687204,33.9301963,lineage3,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063856,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063857,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063858,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063859,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063860,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063861,-13.2687204,33.9301963,lineage1.2.2,lineage1,0,0,1,0,0,0,0,1,0,0,0,R1 ,2015-XX-XX
ERR1063862,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063863,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063864,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063865,-13.2687204,33.9301963,lineage1.1.3,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063866,-13.2687204,33.9301963,lineage4.3.3,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063867,-13.2687204,33.9301963,lineage2.2.1,lineage2,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063868,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063869,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063870,-13.2687204,33.9301963,lineage1.1.3,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063871,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063872,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063873,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063874,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063875,-13.2687204,33.9301963,lineage4.4.1,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063876,-13.2687204,33.9301963,lineage4.3.3,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063877,-13.2687204,33.9301963,lineage4.3.3,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063878,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,1,0,0,1,0,0,0,0,0,R1 ,2015-XX-XX
ERR1063879,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063880,-13.2687204,33.9301963,lineage1.1.3,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063881,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063882,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063883,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063884,-13.2687204,33.9301963,lineage1.1.2,lineage1,0,0,2,0,0,1,0,1,0,0,0,POLY,2015-XX-XX
ERR1063885,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063886,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063887,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063888,-13.2687204,33.9301963,lineage1.1.2,lineage1,0,0,1,0,0,1,0,0,0,0,0,R1 ,2015-XX-XX
ERR1063889,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063890,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063891,-13.2687204,33.9301963,lineage2.2.1,lineage2,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063892,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,1,0,0,1,0,0,0,0,0,R1 ,2015-XX-XX
ERR1063893,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063894,-13.2687204,33.9301963,lineage4.2.2,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR1063895,-13.2687204,33.9301963,lineage4.1.2,lineage4,0,0,4,0,1,1,0,1,0,0,1,POLY,2015-XX-XX
ERR1063896,-13.2687204,33.9301963,lineage4.6.1,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124634,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124635,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124636,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124637,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124638,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124639,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124640,-13.2687204,33.9301963,lineage1.1.3,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124641,-13.2687204,33.9301963,lineage4.1.1,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124642,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124643,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124644,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124645,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124646,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124647,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124648,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124649,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124650,-13.2687204,33.9301963,lineage4.3.4,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124651,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR124652,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR126597,-13.2687204,33.9301963,lineage4.4.1,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR126598,-13.2687204,33.9301963,lineage3.1.1,lineage3,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR126600,-13.2687204,33.9301963,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR126601,-13.2687204,33.9301963,lineage4.6.1,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
ERR126602,-13.2687204,33.9301963,lineage1.1.2,lineage1,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2015-XX-XX
